"id","nume_generate","prenume_generate","genuri","emails_generate","numere_telefon_generate","sucursale_generate","functii_generate","salariu_mediu_values"
29,"URSU","Mia","F","Mia.URSU@yahoo.com","0762570767","3","79",4692
30,"RADU","Ramona","F","Ramona.RADU@yahoo.com","0728042717","2","21",3147
31,"IANCU","Iris","F","Iris.IANCU@gmail.com","0705865869","7","23",3322
32,"ALDEA","Laura","F","Laura.ALDEA@yahoo.com","0782385191","7","77",4585
33,"ALEXE","Edmond","M","Edmond.ALEXE@yahoo.com","0762838520","3","48",6079
34,"RADULESCU","Vicenția","F","Vicenția.RADULESCU@yahoo.com","0766318515","2","2",2757
35,"NEAGU","Antonela","F","Antonela.NEAGU@yahoo.com","0701580495","4","38",2874
36,"PINTEA","Steliana","F","Steliana.PINTEA@yahoo.com","0706284510","3","90",7930
37,"VARGA","Francisc","M","Francisc.VARGA@yahoo.com","0706326149","6","80",3816
38,"PADURARU","Stela","F","Stela.PADURARU@yahoo.com","0712454924","4","17",2950
39,"TRIF","Pompiliu","M","Pompiliu.TRIF@yahoo.com","0724366814","2","9",2263
40,"BACIU","Decebal","M","Decebal.BACIU@yahoo.com","0771744695","8","86",6385
41,"PETCU","Mărioara","F","Mărioara.PETCU@yahoo.com","0774132097","8","25",3306
42,"SIMIONESCU","Valeriu","M","Valeriu.SIMIONESCU@yahoo.com","0728493325","1","32",2326
43,"CIOCAN","Claudiu","M","Claudiu.CIOCAN@yahoo.com","0776346594","4","39",3057
44,"DOBRESCU","Costache","M","Costache.DOBRESCU@yahoo.com","0763137972","5","83",6450
45,"MACOVEI","Teodora","F","Teodora.MACOVEI@yahoo.com","0795273678","2","54",3271
46,"CHIRITA","Bucur","M","Bucur.CHIRITA@yahoo.com","0715014044","2","10",2741
47,"IACOB","Emanuil","M","Emanuil.IACOB@gmail.com","0746841176","5","7",2090
48,"STEFAN","Despina","F","Despina.STEFAN@gmail.com","0790897048","1","20",3229
49,"SZABO","Estera","F","Estera.SZABO@yahoo.com","0798906453","1","32",2322
50,"STANCIU","Gianina","F","Gianina.STANCIU@gmail.com","0760204968","1","47",5886
51,"COVACI","Visarion","M","Visarion.COVACI@gmail.com","0722854831","4","74",4005
52,"UNGUREANU","Irina","F","Irina.UNGUREANU@yahoo.com","0718490240","2","40",5927
53,"DINU","Joița","F","Joița.DINU@yahoo.com","0706675028","3","15",2165
54,"DAMIAN","Cristobal","M","Cristobal.DAMIAN@yahoo.com","0791330900","6","94",9331
55,"DRAGAN","Virgil","M","Virgil.DRAGAN@yahoo.com","0718364643","6","65",5841
56,"DIMA","Cerasela","F","Cerasela.DIMA@yahoo.com","0747990920","1","88",6065
57,"ION","Cornelia","F","Cornelia.ION@yahoo.com","0737891900","1","68",3104
58,"MIHAILA","Robert","M","Robert.MIHAILA@gmail.com","0799109494","1","81",6309
59,"DUMITRASCU","Lenuța","F","Lenuța.DUMITRASCU@yahoo.com","0700219481","8","29",2015
60,"BALAN","Clementina","F","Clementina.BALAN@yahoo.com","0719386726","2","27",2239
61,"DRAGHICI","Iolanda","F","Iolanda.DRAGHICI@yahoo.com","0703259110","3","17",2832
62,"TURCU","Denisa","F","Denisa.TURCU@yahoo.com","0764023363","4","41",4002
63,"MURESAN","David","M","David.MURESAN@yahoo.com","0727506421","8","31",1985
64,"IVASCU","Pulcheria","F","Pulcheria.IVASCU@yahoo.com","0718411966","5","83",6458
65,"MURESAN","Todor","M","Todor.MURESAN@gmail.com","0718010098","2","6",2170
66,"MICU","Janeta","F","Janeta.MICU@gmail.com","0763029076","6","90",7930
67,"DUMITRESCU","Pompiliu","M","Pompiliu.DUMITRESCU@yahoo.com","0780349460","5","1",1998
68,"DRAGOMIR","Romi","M","Romi.DRAGOMIR@yahoo.com","0759552269","7","9",2303
69,"CRISTESCU","Iancu","M","Iancu.CRISTESCU@yahoo.com","0781126743","2","49",5357
70,"NICULESCU","Mitruț","M","Mitruț.NICULESCU@yahoo.com","0713702193","2","64",5854
71,"TAMAS","Olimpian","M","Olimpian.TAMAS@yahoo.com","0766002225","5","80",3856
72,"OANCEA","Narcis","M","Narcis.OANCEA@yahoo.com","0781324430","7","49",5355
73,"VISAN","Dimitrina","F","Dimitrina.VISAN@yahoo.com","0789345291","3","57",5184
74,"ZAHARIA","Octav","M","Octav.ZAHARIA@yahoo.com","0788959505","8","57",5184
75,"MAN","Marius","M","Marius.MAN@yahoo.com","0741912167","1","13",2597
76,"CHIVU","Sandra","F","Sandra.CHIVU@gmail.com","0793558504","1","43",4698
77,"PAVEL","Janina","F","Janina.PAVEL@yahoo.com","0751912539","3","85",7987
78,"SANDU","Matilda","F","Matilda.SANDU@yahoo.com","0712845523","8","84",8910
79,"CONSTANTIN","Celia","F","Celia.CONSTANTIN@yahoo.com","0717255400","1","92",9861
80,"ACHIM","Dominic","M","Dominic.ACHIM@yahoo.com","0783891537","1","65",5883
81,"GRIGORE","Anda","F","Anda.GRIGORE@gmail.com","0785345092","2","21",3141
82,"MARCUS","Safina","F","Safina.MARCUS@yahoo.com","0703976954","5","30",1995
83,"SARBU","Florența","F","Florența.SARBU@yahoo.com","0769441320","7","91",9379
84,"DOBRE","Antoniu","M","Antoniu.DOBRE@yahoo.com","0753197522","5","95",9343
85,"SIMA","Lorelei","F","Lorelei.SIMA@yahoo.com","0757623382","3","89",9403
86,"GRECU","Dimitrie","M","Dimitrie.GRECU@yahoo.com","0719159475","7","71",4437
87,"SZILAGYI","Silviu","M","Silviu.SZILAGYI@gmail.com","0783405625","6","18",2413
88,"ANDREI","Marian","M","Marian.ANDREI@yahoo.com","0773536675","7","68",3104
89,"BACIU","Mirabela","F","Mirabela.BACIU@yahoo.com","0759329554","5","21",3244
90,"MAZILU","Pamfil","M","Pamfil.MAZILU@gmail.com","0762073718","4","72",5332
91,"TEODORESCU","Avram","M","Avram.TEODORESCU@yahoo.com","0721758855","1","16",2745
92,"CRISAN","Lorelei","F","Lorelei.CRISAN@yahoo.com","0706434707","5","91",9861
93,"MILITARU","Mara","F","Mara.MILITARU@yahoo.com","0755174501","7","6",2171
94,"SIMON","Lenuța","F","Lenuța.SIMON@yahoo.com","0759143477","2","58",4762
95,"PINTILIE","Olga","F","Olga.PINTILIE@yahoo.com","0780550753","1","9",2260
96,"CHIVU","Răzvan","M","Răzvan.CHIVU@yahoo.com","0723118122","3","2",2574
97,"BADEA","Ivan","M","Ivan.BADEA@yahoo.com","0753543677","2","66",5461
98,"STEFANESCU","Luciana","F","Luciana.STEFANESCU@gmail.com","0744114392","1","23",3539
99,"GHITA","Eustațiu","M","Eustațiu.GHITA@yahoo.com","0762740382","7","47",5329
100,"ROSCA","Zeno","M","Zeno.ROSCA@yahoo.com","0756468519","1","86",6421
101,"DINU","Petria","F","Petria.DINU@yahoo.com","0763811519","1","54",3246
102,"NECHITA","Margareta","F","Margareta.NECHITA@yahoo.com","0770252077","6","48",6027
103,"ROMAN","Stana","F","Stana.ROMAN@yahoo.com","0710258257","8","8",2131
104,"ALDEA","Hortensia","F","Hortensia.ALDEA@yahoo.com","0771119769","3","44",5397
105,"NICULAE","Veta","F","Veta.NICULAE@yahoo.com","0709313353","8","17",2937
106,"PANAIT","Costică","M","Costică.PANAIT@yahoo.com","0757482072","4","77",4521
107,"BUDA","Ozana","F","Ozana.BUDA@yahoo.com","0716117034","1","24",2654
108,"LUCA","Marcu","M","Marcu.LUCA@yahoo.com","0720780948","6","38",2682
109,"ENACHE","Teona","F","Teona.ENACHE@yahoo.com","0742548038","8","65",5838
110,"OLARIU","Lavinia","F","Lavinia.OLARIU@yahoo.com","0747860586","2","26",3859
111,"VERES","Romina","F","Romina.VERES@yahoo.com","0782740853","5","78",7167
112,"CROITORU","Sânziana","F","Sânziana.CROITORU@gmail.com","0729777576","3","77",4582
113,"NICOLESCU","Ruxandra","F","Ruxandra.NICOLESCU@yahoo.com","0738072670","2","20",3228
114,"VISAN","Aura","F","Aura.VISAN@yahoo.com","0735347590","2","70",3838
115,"STANCU","Mona","F","Mona.STANCU@yahoo.com","0706418247","7","16",2697
116,"GHITA","Petrișor","M","Petrișor.GHITA@yahoo.com","0723946307","8","56",4987
117,"MIHAILA","Sodica","F","Sodica.MIHAILA@yahoo.com","0793469984","5","77",4840
118,"MOLNAR","Ieremia","M","Ieremia.MOLNAR@yahoo.com","0757506972","1","7",2097
119,"BACIU","Marcel","M","Marcel.BACIU@yahoo.com","0740349219","2","19",2568
120,"POPOVICI","Ilarie","M","Ilarie.POPOVICI@yahoo.com","0778106789","4","1",2007
121,"MOGA","Măriuca","F","Măriuca.MOGA@yahoo.com","0719845479","4","53",5327
122,"COSTEA","Antonia","F","Antonia.COSTEA@gmail.com","0758782290","6","29",2012
123,"GHITA","Robert","M","Robert.GHITA@yahoo.com","0752747804","1","59",4909
124,"ENE","Clara","F","Clara.ENE@yahoo.com","0765759879","7","81",7005
125,"HORVATH","Vincențiu","M","Vincențiu.HORVATH@yahoo.com","0741545134","3","88",6065
126,"MOLDOVEANU","Simi","M","Simi.MOLDOVEANU@yahoo.com","0744125563","8","36",2232
127,"TUDOR","Gregorian","M","Gregorian.TUDOR@gmail.com","0753362342","7","89",7792
128,"ANTAL","Bebe","M","Bebe.ANTAL@gmail.com","0744030165","7","62",5338
129,"MARCUS","Rada","F","Rada.MARCUS@yahoo.com","0718630960","4","23",3560
130,"CAZACU","Selina","F","Selina.CAZACU@gmail.com","0704885418","4","80",3862
131,"STEFANESCU","Emilian","M","Emilian.STEFANESCU@yahoo.com","0734552971","5","62",5246
132,"FLOREA","Barbu","M","Barbu.FLOREA@yahoo.com","0775039237","4","4",2080
133,"DOBRE","Octaviu","M","Octaviu.DOBRE@yahoo.com","0727877108","5","40",6368
134,"GRIGORE","Lascăr","M","Lascăr.GRIGORE@yahoo.com","0735000906","2","13",2582
135,"SOARE","Horațiu","M","Horațiu.SOARE@yahoo.com","0732419384","2","7",2060
136,"RADU","Simion","M","Simion.RADU@gmail.com","0741360487","1","93",7172
137,"VASILE","Sabin","M","Sabin.VASILE@yahoo.com","0709479981","7","70",4045
138,"MURESAN","Severina","F","Severina.MURESAN@yahoo.com","0743016674","3","80",3867
139,"COSTEA","Ionelia","F","Ionelia.COSTEA@yahoo.com","0775140158","1","74",3960
140,"ICHIM","Ducu","M","Ducu.ICHIM@yahoo.com","0704219093","7","79",4601
141,"MIRCEA","Teodosia","F","Teodosia.MIRCEA@yahoo.com","0738946541","3","87",5945
142,"COSTEA","Saveta","F","Saveta.COSTEA@yahoo.com","0798470181","1","60",4662
143,"CRETU","Relu","M","Relu.CRETU@yahoo.com","0717749011","4","48",6344
144,"DIACONESCU","Tinca","F","Tinca.DIACONESCU@gmail.com","0756077911","4","58",4409
145,"OLARIU","Heracleea","F","Heracleea.OLARIU@gmail.com","0714947916","8","28",2759
146,"PARVU","Livia","F","Livia.PARVU@yahoo.com","0797755227","4","49",6161
147,"SABAU","Nicușor","M","Nicușor.SABAU@yahoo.com","0765913499","6","71",4419
148,"CHIS","Aurică","M","Aurică.CHIS@yahoo.com","0749113546","7","45",4607
149,"GEORGESCU","Robertina","F","Robertina.GEORGESCU@yahoo.com","0751392979","4","6",2172
150,"BALINT","Catrinel","F","Catrinel.BALINT@yahoo.com","0732386609","7","25",3326
151,"MIHAILESCU","Ruxanda","F","Ruxanda.MIHAILESCU@yahoo.com","0779273054","6","93",7111
152,"OLTEANU","Ionela","F","Ionela.OLTEANU@yahoo.com","0719654639","7","71",4398
153,"MARIN","Barbu","M","Barbu.MARIN@yahoo.com","0796511475","3","4",2074
154,"GRIGORAS","Chira","F","Chira.GRIGORAS@yahoo.com","0736023291","1","50",5381
155,"ACHIM","Nicolaie","M","Nicolaie.ACHIM@yahoo.com","0727652193","3","95",9419
156,"BUDA","Rita","F","Rita.BUDA@yahoo.com","0773841106","8","67",6031
157,"ANTAL","Silvana","F","Silvana.ANTAL@yahoo.com","0749058452","1","29",2023
158,"NEAGOE","Georgel","M","Georgel.NEAGOE@yahoo.com","0772448096","3","69",3602
159,"BURLACU","Dionisie","M","Dionisie.BURLACU@yahoo.com","0701590000","4","88",6065
160,"VLAD","Romina","F","Romina.VLAD@gmail.com","0768873082","3","26",3382
161,"PINTILIE","Titus","M","Titus.PINTILIE@yahoo.com","0722572642","2","85",7039
162,"BARBU","Estera","F","Estera.BARBU@yahoo.com","0724812307","3","52",3881
163,"STAICU","Leontina","F","Leontina.STAICU@yahoo.com","0704229034","1","89",7640
164,"NEGREA","Ionuța","F","Ionuța.NEGREA@yahoo.com","0747033186","2","72",5464
165,"FRATILA","Larisa","F","Larisa.FRATILA@yahoo.com","0769139221","8","61",4978
166,"STEFANESCU","Faust","M","Faust.STEFANESCU@gmail.com","0764735528","8","30",1996
167,"CHIVU","Izaura","F","Izaura.CHIVU@yahoo.com","0740845953","2","50",5283
168,"SABAU","Gheorghe","M","Gheorghe.SABAU@gmail.com","0795927199","1","49",5238
169,"BANU","Faust","M","Faust.BANU@yahoo.com","0702986590","8","70",4012
170,"GABOR","Nora","F","Nora.GABOR@yahoo.com","0732660630","7","52",3665
171,"VASILE","Măriuca","F","Măriuca.VASILE@yahoo.com","0775388737","3","75",4579
172,"LAZAR","Amza","M","Amza.LAZAR@yahoo.com","0776097489","1","69",3672
173,"DASCALU","Dragoș","M","Dragoș.DASCALU@yahoo.com","0727237240","2","21",3122
174,"ALEXE","Valentina","F","Valentina.ALEXE@yahoo.com","0747807918","2","75",4592
175,"ARDELEAN","Nichifor","M","Nichifor.ARDELEAN@yahoo.com","0755851880","5","64",5811
176,"TURCU","Niculiță","M","Niculiță.TURCU@gmail.com","0734404903","2","69",3664
177,"CIOCAN","Constanța","F","Constanța.CIOCAN@yahoo.com","0754751682","8","27",2249
178,"STANCIU","Cristofor","M","Cristofor.STANCIU@yahoo.com","0756075205","3","33",2213
179,"VASILE","Ruxandra","F","Ruxandra.VASILE@yahoo.com","0719502728","8","58",4428
180,"OPRIS","Trandafir","M","Trandafir.OPRIS@gmail.com","0737505211","8","1",2014
181,"GRIGORAS","Sabin","M","Sabin.GRIGORAS@yahoo.com","0717001216","1","29",1977
182,"BLAGA","Horea","M","Horea.BLAGA@yahoo.com","0764196770","6","8",2101
183,"IVAN","Magdalena","F","Magdalena.IVAN@yahoo.com","0739903009","7","51",4797
184,"IORDACHE","Petrișor","M","Petrișor.IORDACHE@yahoo.com","0709237962","3","88",6065
185,"GABOR","Sorina","F","Sorina.GABOR@yahoo.com","0764785774","1","95",9478
186,"TURCU","Ernest","M","Ernest.TURCU@yahoo.com","0749159114","1","41",3750
187,"SERBAN","Matei","M","Matei.SERBAN@yahoo.com","0771380502","1","83",6410
188,"RADOI","Adriana","F","Adriana.RADOI@yahoo.com","0712429637","2","9",2255
189,"BLAGA","Constantin","M","Constantin.BLAGA@yahoo.com","0727503914","2","21",3143
190,"BIRO","Aleodor","M","Aleodor.BIRO@yahoo.com","0708157959","6","34",1990
191,"SERBAN","Draga","F","Draga.SERBAN@gmail.com","0753106140","6","6",2182
192,"MOLDOVAN","Mitică","M","Mitică.MOLDOVAN@yahoo.com","0723305561","3","29",1998
193,"SERBAN","Rafael","M","Rafael.SERBAN@gmail.com","0760375507","8","62",5383
194,"RADU","Savina","F","Savina.RADU@yahoo.com","0728611107","1","66",5468
195,"STANCU","Oliver","M","Oliver.STANCU@yahoo.com","0741333071","1","3",2411
196,"OLARIU","Costel","M","Costel.OLARIU@gmail.com","0785434075","4","88",6065
197,"MOCANU","Eric","M","Eric.MOCANU@yahoo.com","0734309525","6","46",7331
198,"DANCIU","Valentin","M","Valentin.DANCIU@yahoo.com","0733747694","6","62",5298
199,"VASILE","Consuela","F","Consuela.VASILE@gmail.com","0769847963","6","47",6123
200,"ANDREI","Frusina","F","Frusina.ANDREI@yahoo.com","0758343195","1","40",6872
201,"MUNTEAN","Lenuța","F","Lenuța.MUNTEAN@yahoo.com","0790302510","7","27",2239
202,"VASILE","Gherasim","M","Gherasim.VASILE@yahoo.com","0759420699","8","39",3080
203,"HORVATH","Tudosia","F","Tudosia.HORVATH@yahoo.com","0741573354","1","56",4980
204,"URSU","Astrid","F","Astrid.URSU@yahoo.com","0790501896","1","92",9861
205,"SZABO","Leopoldina","F","Leopoldina.SZABO@yahoo.com","0762793207","1","35",3172
206,"NITA","Aida","F","Aida.NITA@yahoo.com","0785381147","1","74",3912
207,"OANCEA","Leonidas","M","Leonidas.OANCEA@gmail.com","0720492157","6","44",6198
208,"GRIGORESCU","Romulus","M","Romulus.GRIGORESCU@yahoo.com","0735163404","4","48",6193
209,"NAGY","Safina","F","Safina.NAGY@gmail.com","0712015094","5","25",3540
210,"ARDELEANU","Floriana","F","Floriana.ARDELEANU@yahoo.com","0702220740","8","80",3885
211,"LUNGU","Rodica","F","Rodica.LUNGU@gmail.com","0740405352","3","5",2202
212,"DIMA","Ludovica","F","Ludovica.DIMA@yahoo.com","0755164812","4","65",5789
213,"TOMESCU","Geta","F","Geta.TOMESCU@yahoo.com","0755351586","8","17",2873
214,"IORGA","Narcisa","F","Narcisa.IORGA@yahoo.com","0751846760","2","71",4453
215,"ZAMFIR","Marina","F","Marina.ZAMFIR@yahoo.com","0722005466","8","90",7930
216,"CHIRILA","Vladimir","M","Vladimir.CHIRILA@yahoo.com","0700030761","1","12",2803
217,"SIMA","Augusta","F","Augusta.SIMA@yahoo.com","0774190590","6","9",2279
218,"OLARIU","Petrică","M","Petrică.OLARIU@yahoo.com","0731861267","1","5",2170
219,"CIOBANU","Floriana","F","Floriana.CIOBANU@yahoo.com","0736996885","3","59",5094
220,"POP","Ludmila","F","Ludmila.POP@gmail.com","0723256416","1","39",3050
221,"DANCIU","Gloria","F","Gloria.DANCIU@yahoo.com","0731369659","4","80",3851
222,"BURLACU","Sorin","M","Sorin.BURLACU@gmail.com","0717102469","8","92",9861
223,"PINTEA","Iridenta","F","Iridenta.PINTEA@yahoo.com","0752491671","7","24",2651
224,"MIU","Carmina","F","Carmina.MIU@gmail.com","0711321073","3","13",2609
225,"MILEA","Marin","M","Marin.MILEA@gmail.com","0720314497","8","78",5820
226,"MANEA","Sinică","M","Sinică.MANEA@gmail.com","0773984741","1","84",8859
227,"LUNGU","Cosmina","F","Cosmina.LUNGU@yahoo.com","0704899571","4","3",2472
228,"ARDELEANU","Romi","M","Romi.ARDELEANU@yahoo.com","0750812068","1","42",2796
229,"CORNEA","Ilarion","M","Ilarion.CORNEA@yahoo.com","0788651678","7","79",4457
230,"PETCU","Dacian","M","Dacian.PETCU@yahoo.com","0762209071","8","21",3196
231,"PARVU","Silvian","M","Silvian.PARVU@yahoo.com","0757275515","6","15",2166
232,"NEGOITA","Alistar","M","Alistar.NEGOITA@yahoo.com","0765534531","7","62",5212
233,"NISTOR","Arcadian","M","Arcadian.NISTOR@yahoo.com","0727449890","1","78",5788
234,"FLORESCU","Voichița","F","Voichița.FLORESCU@yahoo.com","0705061458","7","51",5818
235,"GIURGIU","Cezar","M","Cezar.GIURGIU@gmail.com","0779705766","5","56",5047
236,"LUNGU","Alexandrina","F","Alexandrina.LUNGU@gmail.com","0704359433","1","57",5184
237,"ENE","Bernard","M","Bernard.ENE@gmail.com","0761127817","1","67",6031
238,"CRISTEA","Raluca","F","Raluca.CRISTEA@gmail.com","0725264225","1","3",2426
239,"ACHIM","Răzvan","M","Răzvan.ACHIM@yahoo.com","0793292173","6","50",5615
240,"PETRE","Ghiță","M","Ghiță.PETRE@yahoo.com","0710028703","8","12",2794
241,"STAICU","Carmina","F","Carmina.STAICU@gmail.com","0701216351","7","74",4069
242,"COSTACHE","Emil","M","Emil.COSTACHE@yahoo.com","0709706023","3","24",2648
243,"IVAN","Iustina","F","Iustina.IVAN@gmail.com","0723993161","8","77",4765
244,"PETRESCU","Mia","F","Mia.PETRESCU@yahoo.com","0729649123","2","64",5889
245,"PIRVU","Radu","M","Radu.PIRVU@yahoo.com","0757914662","6","10",2722
246,"DUMITRIU","Teodosia","F","Teodosia.DUMITRIU@yahoo.com","0703243349","4","44",6258
247,"ROSU","Liana","F","Liana.ROSU@gmail.com","0769174096","5","52",3958
248,"FLOREA","Abel","M","Abel.FLOREA@yahoo.com","0770703582","3","20",3212
249,"MIRON","Eremia","M","Eremia.MIRON@yahoo.com","0747876010","1","85",7592
250,"DRAGOI","Fausta","F","Fausta.DRAGOI@yahoo.com","0769343560","5","29",1992
251,"VLAD","Robertina","F","Robertina.VLAD@gmail.com","0733532375","6","60",4786
252,"PASCA","Fiodor","M","Fiodor.PASCA@yahoo.com","0770377790","7","34",2003
253,"DUTA","Visarion","M","Visarion.DUTA@yahoo.com","0797444023","1","24",2693
254,"IORGA","Dochia","F","Dochia.IORGA@yahoo.com","0755995903","7","7",2066
255,"ION","Leonard","M","Leonard.ION@yahoo.com","0710531214","1","2",2696
256,"TOMESCU","Dariana","F","Dariana.TOMESCU@yahoo.com","0758929691","5","9",2319
257,"MOCANU","Martin","M","Martin.MOCANU@yahoo.com","0764943830","1","26",3526
258,"SZABO","Fabiana","F","Fabiana.SZABO@gmail.com","0748158572","1","33",2213
259,"DANILA","Bernard","M","Bernard.DANILA@yahoo.com","0769628265","7","5",2193
260,"POPESCU","Bebe","M","Bebe.POPESCU@yahoo.com","0752392910","8","58",4740
261,"DUMITRASCU","Dida","F","Dida.DUMITRASCU@gmail.com","0774429052","6","52",4398
262,"RADOI","Ruxandra","F","Ruxandra.RADOI@yahoo.com","0733230836","1","24",2642
263,"GRIGORE","Marilena","F","Marilena.GRIGORE@yahoo.com","0754547974","1","73",3797
264,"DUMITRESCU","Panagachie","M","Panagachie.DUMITRESCU@yahoo.com","0776835390","6","73",3796
265,"ROMAN","Patricia","F","Patricia.ROMAN@yahoo.com","0745519579","3","74",3930
266,"TOADER","Florin","M","Florin.TOADER@yahoo.com","0799236366","4","73",3755
267,"DAVID","Marta","F","Marta.DAVID@yahoo.com","0730528121","2","44",5831
268,"SANDOR","Ionică","M","Ionică.SANDOR@yahoo.com","0784955280","3","64",5900
269,"ARDELEANU","Isabela","F","Isabela.ARDELEANU@gmail.com","0786731418","4","57",5184
270,"PADURARU","Bogdan","M","Bogdan.PADURARU@yahoo.com","0754517356","4","70",3873
271,"MUNTEAN","Agripina","F","Agripina.MUNTEAN@yahoo.com","0788178220","2","83",6324
272,"DANCIU","Leopoldina","F","Leopoldina.DANCIU@yahoo.com","0715118151","6","43",4805
273,"TANASE","Georgel","M","Georgel.TANASE@yahoo.com","0799062921","1","58",4662
274,"CRISAN","Valeria","F","Valeria.CRISAN@yahoo.com","0746948533","1","71",4475
275,"IACOB","Cristobal","M","Cristobal.IACOB@yahoo.com","0761466277","2","35",3172
276,"SIRBU","Romulus","M","Romulus.SIRBU@yahoo.com","0718132267","1","63",5664
277,"GHEORGHITA","Mihail","M","Mihail.GHEORGHITA@yahoo.com","0708006116","1","63",5664
278,"MAXIM","Traian","M","Traian.MAXIM@gmail.com","0774828005","1","13",2638
279,"PANAIT","Ilie","M","Ilie.PANAIT@yahoo.com","0707777740","1","18",2449
280,"NECULA","Bucur","M","Bucur.NECULA@yahoo.com","0751908660","1","54",2994
281,"TRANDAFIR","Casian","M","Casian.TRANDAFIR@yahoo.com","0705138295","6","87",5849
282,"CORNEA","Anemona","F","Anemona.CORNEA@yahoo.com","0742392718","3","59",5028
283,"HORVATH","Naomi","F","Naomi.HORVATH@yahoo.com","0735015744","6","65",5827
284,"CATANA","Niculina","F","Niculina.CATANA@yahoo.com","0797910623","5","88",6065
285,"MARGINEAN","Iustin","M","Iustin.MARGINEAN@yahoo.com","0754982467","5","62",5236
286,"GAL","Gina","F","Gina.GAL@yahoo.com","0768508496","2","8",2107
287,"GHEORGHITA","Norica","F","Norica.GHEORGHITA@yahoo.com","0787401812","2","73",3764
288,"SZEKELY","Oliviu","M","Oliviu.SZEKELY@yahoo.com","0757881193","2","32",2329
289,"COJOCARU","Violeta","F","Violeta.COJOCARU@yahoo.com","0701789033","8","60",4540
290,"CHIVU","Nicodim","M","Nicodim.CHIVU@yahoo.com","0781448297","8","80",3894
291,"TOMESCU","Filip","M","Filip.TOMESCU@yahoo.com","0760793837","4","3",2258
292,"PETCU","Natalia","F","Natalia.PETCU@yahoo.com","0759331182","4","41",4427
293,"NEGOITA","Renata","F","Renata.NEGOITA@yahoo.com","0740756841","6","92",9861
294,"TANASE","Ica","F","Ica.TANASE@yahoo.com","0785327801","4","95",9471
295,"DUMITRIU","Paula","F","Paula.DUMITRIU@gmail.com","0735500763","2","85",7435
296,"NEAMTU","Angelica","F","Angelica.NEAMTU@yahoo.com","0706885699","1","51",4812
297,"PETRESCU","Gruia","M","Gruia.PETRESCU@yahoo.com","0740488257","8","67",6031
298,"ALDEA","Steliana","F","Steliana.ALDEA@yahoo.com","0749424713","4","37",2612
299,"CRISAN","Speranța","F","Speranța.CRISAN@yahoo.com","0741147437","1","76",6106
300,"GHEORGHITA","Mitrofan","M","Mitrofan.GHEORGHITA@yahoo.com","0716678509","8","21",3141
301,"OLARU","Timotei","M","Timotei.OLARU@yahoo.com","0724814071","3","43",4667
